OldContractNumber,OldFileName,OldFolderName,SiteName,docCreator,CostCompMethod,CostContractScope
CONT-10-2308,חוזה אדריכל נוף.docx,רוטשילד חיפה,,kooksec,,
CONT-10-2367,חוזה אדריכל נוף.docx,אופיס - אזור,אופיס אזור,kooksec,מחיר קבוע/פאושלי,190000
CONT-10-2365,חוזה אדריכל ראש1.docx,אופיס - אזור,אופיס אזור,kooksec,מחיר קבוע/פאושלי,
CONT-10-1872,חוזה אדריכל ראשי.docx,נס ציונה מחיר למשתכן,,kooksec,מחיר קבוע/פאושלי,1686000
CONT-10-1897,חוזה אדריכל ראשי.docx,סביוני רעננה צפון,סביוני רעננה צפון,germank,מחיר קבוע/פאושלי,1280300
CONT-10-1914,חוזה אדריכל ראשי.docx,מורדות ארנונה,מורדות ארנונה,kooksec,מחיר קבוע/פאושלי,
CONT-10-1923,חוזה אדריכל ראשי.docx,,,avic,,
CONT-10-1924,חוזה אדריכל ראשי.docx,אנדריוס,נשר,avic,מחיר קבוע/פאושלי,
CONT-10-1927,חוזה אדריכל ראשי.docx,נשר,( טרם ניתן שם לפרויקט ) בעיר נשר,avic,מחיר קבוע/פאושלי,
CONT-10-1996,חוזה אדריכל ראשי.docx,נתניה - מגרש 1409,נתניה - מגרש 1409,dekelr,מחיר קבוע/פאושלי,1128000
CONT-10-2305,חוזה אדריכל ראשי.docx,רמת שרת,,kooksec,,
CONT-10-2306,חוזה אדריכל ראשי.docx,רוטשילד חיפה,,kooksec,,
CONT-10-2249,חוזה אחראי לביקורת פרויקטים.docx,נצר סירני,,kooksec,מחיר קבוע/פאושלי,127000
CONT-10-2255,חוזה אחראי לביקורת פרויקטים.docx,בית מפאי,"בית מפא""י",kooksec,מחיר קבוע/פאושלי,127000
CONT-10-2372,חוזה איתור תשתיות.docx,אופיס - אזור,אופיס אזור,kooksec,מחיר קבוע/פאושלי,37300
CONT-10-1998,חוזה ג גור מחוץ למגרשים בינוי נשר.docx,נשר,נשר,avic,,
CONT-10-1917,חוזה הידרולוג.docx,נס ציונה מחיר למשתכן,נס ציונה מחיר למשתכן,kooksec,מחיר קבוע/פאושלי,11500
CONT-10-2111,חוזה הידרולוג.docx,מורדות ארנונה,"מורדות ארנונה, ",,,
CONT-10-2163,חוזה הידרולוג.docx,גבעת הכלניות - קרית אתא,גבעת הכלניות,avic,מחיר קבוע/פאושלי,
CONT-10-2190,חוזה הידרולוג.docx,נשר,רוקי,avic,,
CONT-10-2326,חוזה הידרולוג.docx,רוטשילד חיפה,,kooksec,,
CONT-10-2375,חוזה הידרולוג.docx,אופיס - אזור,אופיס אזור,kooksec,מחיר קבוע/פאושלי,60000
CONT-10-2474,חוזה הידרולוג.docx,דרך השלום - תא,,kooksec,מחיר קבוע/פאושלי,
CONT-10-2050,חוזה חברת ניהול ופיקוח פרויקטים - טיוטה.docx,נתניה - מגרש 1409,,dekelr,מחיר קבוע/פאושלי,
CONT-10-2368,חוזה חברת ניהול ופיקוח פרויקטים חדש.docx,מורדות ארנונה,מורדות ארנונה,kooksec,,
CONT-10-2392,חוזה חברת ניהול ופיקוח פרויקטים פאי הנדסה גני יהודה.docx,,,germank,,
CONT-10-1870,חוזה חברת ניהול ופיקוח פרויקטים.docx,נס ציונה מחיר למשתכן,נס ציונה מחיר למשתכן,kooksec,אחוז מהעלות,1944000
CONT-10-1981,חוזה חברת ניהול ופיקוח פרויקטים.docx,מורדות ארנונה,מורדות ארנונה,,,
CONT-10-2156,חוזה חברת ניהול ופיקוח פרויקטים.docx,רמת שרת שלב ב,רמת שרת,,,
CONT-10-2164,חוזה חברת ניהול ופיקוח פרויקטים.docx,נשר,פרויקט ,avic,,
CONT-10-2323,חוזה חברת ניהול ופיקוח פרויקטים.docx,רוטשילד חיפה,,kooksec,,
CONT-10-2329,חוזה חברת ניהול ופיקוח פרויקטים.docx,הכוזרי - הרצליה,הכוזרי הרצליה,meryle,מחיר קבוע/פאושלי,2650000
CONT-10-1916,חוזה יועץ איטום.docx,נס ציונה מחיר למשתכן,נס ציונה מחיר למשתכן,kooksec,מחיר קבוע/פאושלי,42000
CONT-10-2100,חוזה יועץ איטום.docx,גבעת הכלניות - קרית אתא,גבעת הכלניות,avic,מחיר קבוע/פאושלי,55000
CONT-10-2146,חוזה יועץ איטום.docx,נתניה - מגרש 1409,,dekelr,מחיר קבוע/פאושלי,11800
CONT-10-2174,חוזה יועץ איטום.docx,נשר,נשר,avic,מחיר קבוע/פאושלי,
CONT-10-2189,חוזה יועץ איטום.docx,מורדות ארנונה,מורדות ארנונה,kooksec,מחיר קבוע/פאושלי,46000
CONT-10-2247,חוזה יועץ איטום.docx,רמת שרת שלב ב,רמת שרת שלב ב,kooksec,מחיר קבוע/פאושלי,78500
CONT-10-2313,חוזה יועץ איטום.docx,רוטשילד חיפה,,kooksec,,
CONT-10-2468,חוזה יועץ איטום.docx,דרך השלום - תא,,kooksec,,
CONT-10-1881,חוזה יועץ אקוסטיקה.docx,נס ציונה מחיר למשתכן,נס ציונה מחיר למשתכן,kooksec,,34000
CONT-10-1933,חוזה יועץ אקוסטיקה.docx,אנדריוס,אנדריוס,avic,,
CONT-10-1999,חוזה יועץ אקוסטיקה.docx,סביוני רעננה צפון,רעננה ,germank,מחיר קבוע/פאושלי,28000
CONT-10-2004,חוזה יועץ אקוסטיקה.docx,מורדות ארנונה,מורדות ארנונה,,,
CONT-10-2102,חוזה יועץ אקוסטיקה.docx,גבעת הכלניות - קרית אתא,,avic,מחיר קבוע/פאושלי,63000
CONT-10-2148,חוזה יועץ אקוסטיקה.docx,נתניה - מגרש 1409,,dekelr,מחיר קבוע/פאושלי,22000
CONT-10-2185,חוזה יועץ אקוסטיקה.docx,נשר,נשר,avic,מחיר קבוע/פאושלי,
CONT-10-2269,חוזה יועץ אקוסטיקה.docx,רמת שרת שלב ב,רמת שרת שלב ב,kooksec,מחיר קבוע/פאושלי,420000
CONT-10-2318,חוזה יועץ אקוסטיקה.docx,רוטשילד חיפה,,kooksec,,
CONT-10-2362,חוזה יועץ אקוסטיקה.docx,הכוזרי - הרצליה,הכוזרי הרצליה,meryle,מחיר קבוע/פאושלי,34000
CONT-10-2473,חוזה יועץ אקוסטיקה.docx,דרך השלום - תא,,kooksec,מחיר קבוע/פאושלי,
CONT-10-1900,חוזה יועץ בטיחות.docx,סביוני רעננה צפון,סביוני רעננה צפון,germank,מחיר קבוע/פאושלי,65000
CONT-10-1930,חוזה יועץ בטיחות.docx,פרויקט ניסיון,פרויקט ניסיון,einave,,
CONT-10-2003,חוזה יועץ בטיחות.docx,מורדות ארנונה,מורדות ארנונה,,,
CONT-10-2101,חוזה יועץ בטיחות.docx,גבעת הכלניות - קרית אתא,גבעת הכלניות,avic,מחיר קבוע/פאושלי,
CONT-10-2140,חוזה יועץ בטיחות.docx,נתניה - מגרש 1409,,dekelr,מחיר קבוע/פאושלי,37170
CONT-10-2171,חוזה יועץ בטיחות.docx,נשר,נשר,avic,מחיר קבוע/פאושלי,
CONT-10-2180,חוזה יועץ בטיחות.docx,רמת שרת שלב ב,רמת שרת – מתחם דרומי,,,
CONT-10-2320,חוזה יועץ בטיחות.docx,רוטשילד חיפה,,kooksec,,
CONT-10-2356,חוזה יועץ בטיחות.docx,הכוזרי - הרצליה,הכוזרי הרצליה,meryle,מחיר קבוע/פאושלי,75400
CONT-10-2475,חוזה יועץ בטיחות.docx,דרך השלום - תא,,kooksec,מחיר קבוע/פאושלי,139080
CONT-10-2159,חוזה יועץ בידוד תרמי לוקח מכאן לירוק אנני גלר אביב.docx,גבעת הכלניות - קרית אתא,,avic,,
CONT-10-2198,חוזה יועץ בידוד תרמי.docx,נשר,נשר,avic,,
CONT-10-1869,חוזה יועץ ביסוס וקרקע.docx,נס ציונה מחיר למשתכן,,kooksec,,
CONT-10-1898,חוזה יועץ ביסוס וקרקע.docx,סביוני רעננה צפון,סביוני רעננה צפון,germank,מחיר קבוע/פאושלי,22500
CONT-10-2049,חוזה יועץ ביסוס קרקע.docx,מורדות ארנונה,מורדות ארנונה,,,
CONT-10-2098,חוזה יועץ ביסוס קרקע.docx,גבעת הכלניות - קרית אתא,גבעת הכלניות,avic,מחיר קבוע/פאושלי,
CONT-10-2144,חוזה יועץ ביסוס קרקע.docx,נתניה - מגרש 1409,,dekelr,מחיר קבוע/פאושלי,20160
CONT-10-2160,חוזה יועץ ביסוס קרקע.docx,רמת שרת שלב ב,רמת שרת שלב ב' ,,,
CONT-10-2373,חוזה יועץ ביסוס קרקע.docx,הכוזרי - הרצליה,הכוזרי הרצליה,meryle,מחיר קבוע/פאושלי,41020
CONT-10-2157,חוזה יועץ בניה ירוקה ויעוץ תרמי.docx,גבעת הכלניות - קרית אתא,גבעת הכלניות,avic,מחיר קבוע/פאושלי,144000
CONT-10-2197,חוזה יועץ בניה ירוקה ותרמי.docx,נשר,נשר,avic,מחיר קבוע/פאושלי,
