OldContractNumber,OldFileName,OldFolderName,SiteName,docCreator,CostCompMethod,CostContractScope
CONT-10-2097,חוזה מתכנן מעליות.docx,גבעת הכלניות - קרית אתא,,avic,מחיר קבוע/פאושלי,
CONT-10-2139,חוזה מתכנן מעליות.docx,נתניה - מגרש 1409,,dekelr,מחיר קבוע/פאושלי,24000
CONT-10-2170,חוזה מתכנן מעליות.docx,נשר,רויקט,avic,מחיר קבוע/פאושלי,
CONT-10-2184,חוזה מתכנן מעליות.docx,רמת שרת שלב ב,רמת שרת – מתחם דרומי,,,
CONT-10-2321,חוזה מתכנן מעליות.docx,רוטשילד חיפה,,kooksec,,
CONT-10-2355,חוזה מתכנן מעליות.docx,הכוזרי - הרצליה,הכוזרי הרצליה,meryle,מחיר קבוע/פאושלי,58500
CONT-10-2366,חוזה מתכנן מעליות.docx,אופיס - אזור,אופיס אזור,kooksec,מחיר קבוע/פאושלי,95746
CONT-10-1922,חוזה מתכנן קונסטרוקצי1.docx,אנדריוס,אנדריוס,avic,מחיר קבוע/פאושלי,1500000
CONT-10-1821,חוזה מתכנן קונסטרוקציה קרבן.docx,גבעת הכלניות - קרית אתא,,avic,,
CONT-10-1892,חוזה מתכנן קונסטרוקציה.docx,סביוני רעננה צפון,סביוני רעננה צפון,germank,מחיר קבוע/פאושלי,591250
CONT-10-1982,חוזה מתכנן קונסטרוקציה.docx,מורדות ארנונה,מורדות ארנונה,,,
CONT-10-1992,חוזה מתכנן קונסטרוקציה.docx,נשר,אגמי הכרמל ,avic,מחיר קבוע/פאושלי,
CONT-10-2107,חוזה מתכנן קונסטרוקציה.docx,נס ציונה מחיר למשתכן,נס ציונה מחיר למשתכן,kooksec,מחיר קבוע/פאושלי,
CONT-10-2136,חוזה מתכנן קונסטרוקציה.docx,נתניה - מגרש 1409,נתניה - מגרש 1409,dekelr,מחיר קבוע/פאושלי,478800
CONT-10-2186,חוזה מתכנן קונסטרוקציה.docx,רמת שרת שלב ב,רמת שרת שלב ב,kooksec,מחיר קבוע/פאושלי,668750
CONT-10-2310,חוזה מתכנן קונסטרוקציה.docx,רוטשילד חיפה,,kooksec,,
CONT-10-2344,חוזה מתכנן קונסטרוקציה.docx,הכוזרי - הרצליה,הכוזרי הרצליה,meryle,מחיר קבוע/פאושלי,865560
CONT-10-1970,חוזה מתכנן קונסטרוקציה1.docx,נרקיסים,נרקיסים,germank,מחיר קבוע/פאושלי,1384987
CONT-10-2334,חוזה מתכנן תנועה רקאוז חן הנדסת כבישים טיוטה 1.docx,אולפני הרצליה,הרצליה,germank,מחיר קבוע/פאושלי,311000
CONT-10-1874,חוזה מתכנן תנועה.docx,נס ציונה מחיר למשתכן,נס ציונה מחיר למשתכן,kooksec,מחיר קבוע/פאושלי,129000
CONT-10-1910,חוזה מתכנן תנועה.docx,סביוני רעננה צפון,סביוני רעננה צפון,germank,מחיר קבוע/פאושלי,205444
CONT-10-2012,חוזה מתכנן תנועה.docx,מורדות ארנונה,מורדות ארנונה,,,
CONT-10-2099,חוזה מתכנן תנועה.docx,גבעת הכלניות - קרית אתא,,avic,מחיר קבוע/פאושלי,230000
CONT-10-2142,חוזה מתכנן תנועה.docx,נתניה - מגרש 1409,,dekelr,מחיר קבוע/פאושלי,101740
CONT-10-2161,חוזה מתכנן תנועה.docx,רמת שרת שלב ב,רמת שרת שלב ב,,,
CONT-10-2300,חוזה מתכנן תנועה.docx,הכוזרי - הרצליה,הכוזרי הרצליה,ronen,מחיר קבוע/פאושלי,64500
CONT-10-2312,חוזה מתכנן תנועה.docx,רוטשילד חיפה,,kooksec,,
CONT-10-2369,חוזה מתכנן תנועה.docx,אופיס - אזור,אופיס אזור,kooksec,מחיר קבוע/פאושלי,532000
CONT-10-2092,חוזה נגישות.docx,נס ציונה מחיר למשתכן,נס ציונה מחיר למשתכן,kooksec,מחיר קבוע/פאושלי,118800
CONT-10-2297,יועץ בטיחות  הסכם.docx,נשר,נשר,avic,מחיר קבוע/פאושלי,
CONT-10-2480,יועץ ביסוס קרקע.docx,אולפני הרצליה,אולפני הרצליה,germank,,
CONT-10-2295,יועץ בניה ניסיון.docx,רוטשילד חיפה,,ronen,,
CONT-10-2071,יועץ נגישות רעננה.docx,סביוני רעננה צפון,,germank,מחיר קבוע/פאושלי,40000
CONT-10-2479,יועץ נגישות.docx,אולפני הרצליה,,germank,,
CONT-5-716,מכרז קבלן ראשי מגורים נשר שלב 1 2026.docx,נשר,נשר,avic,מחיר קבוע/פאושלי,
CONT-10-2158,ניהול תיאום ופיקוח אחים מרגולין רעננה.docx,סביוני רעננה צפון,סביוני רעננה צפון,germank,מחיר קבוע/פאושלי,
CONT-10-2458,ניסיון רונן.docx,שדרות הסביונים,,,,
CONT-10-1871,ניסיון1.docx,סביון במשתלה,ספייס 3,ronen,,
CONT-10-2108,סביוני גבעת שמואל - 1001 1005 - חוזה קבלן.docx,סביוני גבעת שמואל,גבעת שמואל,meryle,,
CONT-10-2191,סביוני גבעת שמואל - 1004-1005 - חוזה מעצב פנים.docx,סביוני גבעת שמואל,גבעת שמואל,meryle,מחיר קבוע/פאושלי,100000
CONT-10-2177,סביוני גבעת שמואל  1006-1007 - חוזה אדריכל.docx,סביוני גבעת שמואל,גבעת שמואל,meryle,למדידה,2398000
CONT-10-2393,סביוני גבעת שמואל - 1006-1007 - חוזה קבלן ראשי.docx,סביוני גבעת שמואל,גבעת שמואל,meryle,,
CONT-10-2276,סביוני גבעת שמואל - גמרשים 1006-1007 -חוזה יועץ בניה ירוקה ותרמי.docx,סביוני גבעת שמואל,גבעת שמואל,meryle,מחיר קבוע/פאושלי,101000
CONT-10-1403,סביוני גבעת שמואל - חוזה אדריכל מגורים ומסחרי.docx,סביוני גבעת שמואל,סביוני בעת שמואל,meryle,,
CONT-10-2167,סביוני גבעת שמואל - חוזה אחראי לביקורת.docx,סביוני גבעת שמואל,גבעת שמואל,meryle,מחיר קבוע/פאושלי,49600
CONT-10-1889,סביוני גבעת שמואל - חוזה הידרולוג.docx,סביוני גבעת שמואל,גבעת שמואל,meryle,מחיר קבוע/פאושלי,18800
CONT-10-1944,סביוני גבעת שמואל - חוזה יועץ בידוד תרמי.docx,סביוני גבעת שמואל,גבעת שמואל,meryle,מחיר קבוע/פאושלי,33000
CONT-10-2172,סביוני גבעת שמואל - חוזה יועץ נגישות - משה מנו.docx,סביוני גבעת שמואל,גבעת שמואל,meryle,מחיר קבוע/פאושלי,22000
CONT-10-1929,סביוני גבעת שמואל - חוזה יועץ נגישות.docx,סביוני גבעת שמואל,גבעת שמואל,meryle,מחיר קבוע/פאושלי,17100
CONT-10-1962,סביוני גבעת שמואל - חוזה יועץ פינוי אשפה.docx,סביוני גבעת שמואל,גבעת שמואל,meryle,מחיר קבוע/פאושלי,54000
CONT-10-2192,סביוני גבעת שמואל - מגרש 1004 - תאום מערכות.docx,סביוני גבעת שמואל,גבעת שמואל,meryle,מחיר קבוע/פאושלי,65600
CONT-10-2245,סביוני גבעת שמואל - מגרשים 1006-1007 - חוזה אדריכל נוף.docx,סביוני גבעת שמואל,גבעת שמואל,meryle,מחיר קבוע/פאושלי,220000
CONT-10-2271,סביוני גבעת שמואל - מגרשים 1006-1007 - חוזה הידרולוג.docx,סביוני גבעת שמואל,,meryle,מחיר קבוע/פאושלי,13343
CONT-10-2258,סביוני גבעת שמואל - מגרשים 1006-1007 - חוזה יועץ ביסוס קרקע.docx,סביוני גבעת שמואל,גבעת שמואל,meryle,מחיר קבוע/פאושלי,41500
CONT-10-2257,סביוני גבעת שמואל - מגרשים 1006-1007 - חוזה יועץ ניהול ואחזקת מבנים.docx,סביוני גבעת שמואל,גבעת שמואל,meryle,מחיר קבוע/פאושלי,80000
CONT-10-2259,סביוני גבעת שמואל - מגרשים 1006-1007 - חוזה מנהל מודל ומתאם מערכות.docx,סביוני גבעת שמואל,גבעת שמואל,meryle,מחיר קבוע/פאושלי,170500
CONT-10-2376,סביוני גבעת שמואל - מגרשים 1006-1007 - חוזה מעצב פנים.docx,סביוני גבעת שמואל,גבעת שמואל,meryle,מחיר קבוע/פאושלי,150000
CONT-10-2246,סביוני גבעת שמואל - מגרשים 1006-1007 - חוזה מתכנן אינסטלציה.docx,סביוני גבעת שמואל,גבעת שמואל,meryle,למדידה,482640
CONT-10-2122,סביוני גבעת שמואל - תאום מערכות.docx,סביוני גבעת שמואל,גבעת שמואל,meryle,מחיר קבוע/פאושלי,125000
CONT-10-2206,סביוני גבעת שמואל 1006-1007 - חוזה יועץ תנועה.docx,סביוני גבעת שמואל,,meryle,מחיר קבוע/פאושלי,108000
CONT-10-2207,סביוני גבעת שמואל 1006-1007 - חוזה מתכנן מיגון.docx,סביוני גבעת שמואל,גבעת שמואל,meryle,מחיר קבוע/פאושלי,20000
CONT-10-1921,סביוני גבעת שמואל חוזה מתכנן אינסטלציה.docx,סביוני גבעת שמואל,גבעת שמואל,meryle,מחיר קבוע/פאושלי,401800
CONT-10-1925,ססביוני גבעת שמואל - חוזה מתכנן מיזוג אוויר.docx,סביוני גבעת שמואל,גבעת שמואל,meryle,מחיר קבוע/פאושלי,268000
CONT-10-1932,עינב.docx,פרויקט ניסיון,,einave,,
CONT-10-2391,פרויקט קיציס -תכולת מכרז קבלן ראשי.docx,קיציס 17-26,קיציס 17-26,kooksec,,
CONT-10-1873,שהם - דיור להשכרה - חוזה חברת פיקוח.docx,סביוני שהם - דיור להשכרה,סביוני שהם - דיור להשכרה,meryle,מחיר קבוע/פאושלי,2262850
CONT-10-1070,שהם מחיר למשתכן - חוזה הידרולוג.docx,סביוני שהם - מחיר למשתכן,סביוני שהם - מחיר למשתכן,meryle,מחיר קבוע/פאושלי,16920
CONT-10-1066,שהם מחיר למשתכן - חוזה חברת ניהול ופיקוח.docx,סביוני שהם - מחיר למשתכן,סביוני שהם - מחיר למשתכן,meryle,מחיר קבוע/פאושלי,2592000
CONT-10-1394,שהם מחיר למשתכן - חוזה יועץ איטום.docx,סביוני שהם - מחיר למשתכן,סביוני שהם - מחיר למשתכן,meryle,מחיר קבוע/פאושלי,27280
CONT-10-1069,שהם מחיר למשתכן - חוזה יועץ נגישות.docx,סביוני שהם - מחיר למשתכן,סביוני שהם - מחיר למשתכן,meryle,מחיר קבוע/פאושלי,12600
CONT-10-1401,שהם מחיר למשתכן - חוזה יועץ תאום מערכות.docx,סביוני שהם - מחיר למשתכן,סביוני שהם - מחיר למשתכן,meryle,מחיר קבוע/פאושלי,100000
CONT-10-1067,שהם מחיר למשתכן - חוזה מעצב פנים.docx,סביוני שהם - מחיר למשתכן,סביוני שהם - מחיר למשתכן,meryle,מחיר קבוע/פאושלי,95000
CONT-10-1396,שהם מחיר למשתכן - חוזה מתכנן מיגון.docx,סביוני שהם - מחיר למשתכן,סביוני שהם - מחיר למשתכן,meryle,מחיר קבוע/פאושלי,25000
CONT-10-1065,שהם מחיר למשתכן - חוזה מתכנן קונסטרוקציה.docx,סביוני שהם - מחיר למשתכן,סביוני שהם - מחיר למשתכן,meryle,מחיר קבוע/פאושלי,578016
CONT-10-1068,שהם מחיר משתכן - חוזה מתכנן אלומיניום.docx,סביוני שהם - מחיר למשתכן,סביוני שהם - מחיר למשתכן,meryle,מחיר קבוע/פאושלי,83592
CONT-10-1909,תבנית מודד.docx,סביוני רעננה צפון,סביוני רעננה צפון,germank,,
CONT-10-1928,תכולת מכרז קבלן ראשי.docx,פרויקט ניסיון,פרויקט ניסיון,einave,מחיר קבוע/פאושלי,
CONT-10-2112,תכולת מכרז קבלן ראשי.docx,סביוני רעננה צפון,רעננה,germank,מחיר קבוע/פאושלי,145538000
CONT-10-2383,תכולת מכרז קבלן ראשי.docx,רמת שרת שלב ב,רמת שרת שלב ב,kooksec,,
CONT-10-2219,תמצית עסקה - רמגור הרצליה טיוטה - 5.9.22.docx,רמגור הרצליה,אפריקה ישראל,,,
