"ContractNumber","FileName","FolderName"
"CONT-10-2322","חוזה מתכנן מיגון ומקלוט.docx","רוטשילד חיפה"
"CONT-10-1915","חוזה מתכנן מיזוג אוויר.docx","נס ציונה מחיר למשתכן"
"CONT-10-1931","חוזה מתכנן מיזוג אוויר.docx","פרויקט ניסיון"
"CONT-10-2137","חוזה מתכנן מיזוג אוויר.docx","נתניה - מגרש 1409"
"CONT-10-2236","חוזה מתכנן מיזוג אוויר.docx","מורדות ארנונה"
"CONT-10-2311","חוזה מתכנן מיזוג אוויר.docx","רוטשילד חיפה"
"CONT-10-2476","חוזה מתכנן מעליו1.docx","דרך השלום - תא"
"CONT-10-1918","חוזה מתכנן מעליות.docx","נס ציונה מחיר למשתכן"
"CONT-10-2045","חוזה מתכנן מעליות.docx","מורדות ארנונה"
"CONT-10-2139","חוזה מתכנן מעליות.docx","נתניה - מגרש 1409"
"CONT-10-2321","חוזה מתכנן מעליות.docx","רוטשילד חיפה"
"CONT-10-2366","חוזה מתכנן מעליות.docx","אופיס - אזור"
"CONT-10-2136","חוזה מתכנן קונסטרוקציה.docx","נתניה - מגרש 1409"
"CONT-10-2310","חוזה מתכנן קונסטרוקציה.docx","רוטשילד חיפה"
"CONT-10-2012","חוזה מתכנן תנועה.docx","מורדות ארנונה"
"CONT-10-2142","חוזה מתכנן תנועה.docx","נתניה - מגרש 1409"
"CONT-10-2300","חוזה מתכנן תנועה.docx","הכוזרי - הרצליה"
"CONT-10-2312","חוזה מתכנן תנועה.docx","רוטשילד חיפה"
"CONT-10-2369","חוזה מתכנן תנועה.docx","אופיס - אזור"
"CONT-10-2295","יועץ בניה ניסיון.docx","רוטשילד חיפה"
"CONT-10-2458","ניסיון רונן.docx","שדרות הסביונים"
"CONT-10-1871","ניסיון1.docx","סביון במשתלה"
"CONT-10-2258","סביוני גבעת שמואל - מגרשים 1006-1007 - חוזה יועץ ביסוס קרקע.docx","סביוני גבעת שמואל"
"CONT-10-2257","סביוני גבעת שמואל - מגרשים 1006-1007 - חוזה יועץ ניהול ואחזקת מבנים.docx","סביוני גבעת שמואל"
"CONT-10-2259","סביוני גבעת שמואל - מגרשים 1006-1007 - חוזה מנהל מודל ומתאם מערכות.docx","סביוני גבעת שמואל"
"CONT-10-2246","סביוני גבעת שמואל - מגרשים 1006-1007 - חוזה מתכנן אינסטלציה.docx","סביוני גבעת שמואל"
"CONT-10-2122","סביוני גבעת שמואל - תאום מערכות.docx","סביוני גבעת שמואל"
"CONT-10-2206","סביוני גבעת שמואל 1006-1007 - חוזה יועץ תנועה.docx","סביוני גבעת שמואל"
"CONT-10-2207","סביוני גבעת שמואל 1006-1007 - חוזה מתכנן מיגון.docx","סביוני גבעת שמואל"
"CONT-10-1921","סביוני גבעת שמואל חוזה מתכנן אינסטלציה.docx","סביוני גבעת שמואל"
"CONT-10-1925","ססביוני גבעת שמואל - חוזה מתכנן מיזוג אוויר.docx","סביוני גבעת שמואל"
"CONT-10-2391","פרויקט קיציס -תכולת מכרז קבלן ראשי.docx","קיציס 17-26"
