OldContractNumber,OldFileName,ContractTemplate,signDate,כתובת ספק,CostContractScope,SiteName,status,StartDate,ExpectedEndDate,CostCompMethod,PartyAContactNamePercent,אישור חוזה,contractVersion,ח.פ חברה,docCreator,כתובת חברה,מדד בגין/ידוע,CostIndexMode,CostBaseIndexDate,מספר ספק,DurationMonths,CostIndexPoints,סוג מדד,CostIndexType,סוג ספק,פירוט עלויות,פרק,recipient,otherSides,קישור לנספח,Municipality,customField1,customField2,customField3,customField4,customField5,customField6,customField7,customField8,שיוך לעיר,project,CostCurrency,supplierName,partyAName,WorkDescription,CostPaymentTerms,ItemType,Path,OldFolderName
CONT-10-2329,חוזה חברת ניהול ופיקוח פרויקטים.docx,ניהול תיאום תכנון ופיקוח,,,2650000,הכוזרי הרצליה,טיוטה,2022-02-15 00:00:00,2027-01-18 22:00:00,מחיר קבוע/פאושלי,50%,,0.2,,meryle,,2,ידוע,2022-02-14 00:00:00,,60,229.82,5.00000000000000,מדד המחירים לצרכן,,,,"
אפריקה התחדשות עירונית בע""מ
514639525
","
אפרתי מדפיס ניהול פרויקטים בע""מ
דרך ירושלים 34, רעננה

",,הרצליה,6538,504-0138628,,תהילה רדקו,,יוני אפרתי,420-423,,,הכוזרי,"ש""ח","אפרתי מדפיס ניהול פרויקטים בע""מ",אפריקה התחדשות עירונית,ניהול תיאום תכנון ופיקוח,60 יום,Item,sites/Contracts/ProjectContractLibrary/הכוזרי - הרצליה,הכוזרי - הרצליה
CONT-10-1916,חוזה יועץ איטום.docx,יועץ איטום,2019-01-13 00:00:00,,42000,נס ציונה מחיר למשתכן,טיוטה,2019-01-13 00:00:00,2021-01-01 22:00:00,מחיר קבוע/פאושלי,100,,,,kooksec,,2,,,,24,,11.0000000000000,שקל חדש,,,,"
א.מ. ישראל מגורים יזמות בע""מ
יוני נתניהו 1 אור יהודה
514957794
","
זאן ברקוביץ
משה דיין 88, כפר סבא
514305895
",,נס ציונה,,,אבי ברטי לוי,,,,,,,"א.מ ישראל מגורים יזמות בע""מ",,זאן ברקוביץ,,"תכנון ל-216 יח""ד לרבות מרתפי חניה ",שוטף + 45,Item,sites/Contracts/ProjectContractLibrary/נס ציונה מחיר למשתכן,נס ציונה מחיר למשתכן
CONT-10-2100,חוזה יועץ איטום.docx,יועץ איטום,2021-09-16 00:00:00,,55000,גבעת הכלניות,אושר,2021-07-15 00:00:00,2028-04-11 21:00:00,מחיר קבוע/פאושלי,100%,,0.2,,avic,,,,2021-07-14 00:00:00,,80,,5.00000000000000,מדד המחירים לצרכן,,,,"
אפריקה ישראל מגורים בע""מ
יוני נתניהו 1 ג' אור יהודה
מ.ז 52-003476-0
","
ז'אן ברקוביץ מהנדסים יועצים
משה דיין 88 כפר סבא
",,קרית אתא ,10255 ,כ/248,"אבי כהן מחברת אפריקה ישראל מגורים בע""מ ",ג'אן ברקוביץ',4,ג'אן ברקוביץ',מגרשים 57-65,,,גבעת הכלניות ( טרם ניתן שם לפרויקט ),"ש""ח",ז'אן ברקוביץ מהנדסים יועצים,,תכנון ויעוץ לאיטום בפרויקט,שוטף + 45,Item,sites/Contracts/ProjectContractLibrary/גבעת הכלניות - קרית אתא,גבעת הכלניות - קרית אתא
CONT-10-2146,חוזה יועץ איטום.docx,יועץ איטום,2021-09-01 00:00:00,,11800,,טיוטה,2021-08-16 00:00:00,2023-08-21 21:00:00,מחיר קבוע/פאושלי,,,,,dekelr,,2,ידוע,2021-08-15 00:00:00,,24,227.5844,5.00000000000000,מדד המחירים לצרכן,,,,"
אפריקה ישראל מגורים בע""מ
יוני נתניהו 1 ג' אור יהודה
מ.ז 52-003476-0
","
ס. דניאל - מתן שרותי ייעוץ בע""מ
 633, קרית מוצקין, 2610601

",,נתניה,8256,נת / 556 / ב / 1,דקל רוקבן,,,,155,מגרש 1409,,נתניה - מגרש 1409,"ש""ח","ס. דניאל - מתן שרותי ייעוץ בע""מ",,יעוץ איטום,45 יום,Item,sites/Contracts/ProjectContractLibrary/נתניה - מגרש 1409,נתניה - מגרש 1409
CONT-10-2174,חוזה יועץ איטום.docx,יועץ איטום,2022-04-14 00:00:00,,,נשר,טיוטה,2022-02-10 00:00:00,,מחיר קבוע/פאושלי,,,,,avic,,1,בגין,2022-02-09 00:00:00,,,231.3849,5.00000000000000,מדד המחירים לצרכן,,,,"
אפריקה ישראל מגורים בע""מ
יוני נתניהו 1 ג' אור יהודה
מ.ז 52-003476-0

שיכון ובינוי נדל""ן בע""מ
שלם 3 רמת גן 52215
מ.ז 52-002117-1

כלל נכסי נדלן נשר מרכז (נ.נ.נ.מ) שותפות מוגבלת
מרכז עזריאלי בניין משולש 3, תל אביב
540283033
","
ז'אן ברקוביץ מהנדסים יועצים
משה דיין 88 כפר סבא
",,נשר,חלקה 1 בגוש 11170 וכן חלק מחלקה 1 בגוש 11118,355-0359364 ( מכ/866 ),"אבי כהן מחברת אפריקה ישראל מגורים בע""מ ",ג'אן ברקוביץ',4,ג'אן ברקוביץ',,,,אגמי הכרמל ,"ש""ח",ז'אן ברקוביץ מהנדסים יועצים,,יועץ איטום בפרוקיט ,שוטף + 45,Item,sites/Contracts/ProjectContractLibrary/נשר,נשר
CONT-10-2189,חוזה יועץ איטום.docx,יועץ איטום,,,46000,מורדות ארנונה,טיוטה,,,מחיר קבוע/פאושלי,100%,,,,kooksec,,2,,,,26,,,,,,,"
א.מ. ישראל מגורים פיתוח בע""מ
יוני נתניהו 1 ג' אור יהודה
513313148
","
זאן ברקוביץ מהנדסים ויועצים בע""מ
משה דיין 88, כפר סבא
511530685
",,ירושלים,,,אבי ברטי לוי,זאן ברקוביץ,,זאן ברקוביץ,,,,"א.מ ישראל מגורים פיתוח בע""מ","ש""ח","זאן ברקוביץ מהנדסים ויועצים בע""מ",,"תכנון ופיקוח מערכות האיטום לפרויקט מגורים הכוללים 230 יח""ד ושטחי מסחר בני 9 קומות",45 יום,Item,sites/Contracts/ProjectContractLibrary/מורדות ארנונה,מורדות ארנונה
CONT-10-2247,חוזה יועץ איטום.docx,יועץ איטום,,,78500,רמת שרת שלב ב,טיוטה,,,מחיר קבוע/פאושלי,,,,,kooksec,,2,,,,,,5.00000000000000,מדד המחירים לצרכן,,,,"פ.א פיתוח ובנייה בירושלים בע""מ
יוני נתניהו 1 ג' אור יהודה ת.ד 715
","צבי טל ושות' יעוץ תכנון ופתרונות איטום בע""מ
רח' הנגר 24 ק.6 הוד השרון ת.ד 7262
515661866",,ירושלים,,,אבי ברטי לוי,צבי טל,,צבי טל,,,,"פ.א פיתוח ובנייה בירושלים בע""מ","ש""ח",,,"תכנון ופיקוח עליון על פרויקט מגורים הכולל מסחר וחניונים הכולל 2 מגדלי מגורים בני 19 קומות כ""א בסך: 278 יח""ד ומסחר כ2000 מ""ר בקומת קרקע וחניון תת""ק של כ-22,300 מ""ר",45 יום,Item,sites/Contracts/ProjectContractLibrary/רמת שרת שלב ב,רמת שרת שלב ב
CONT-10-2313,חוזה יועץ איטום.docx,יועץ איטום,,,,,טיוטה,,,,,,,,kooksec,,,,,,,,,,,,,"
ביתא רוטשילד בע""מ

515851194
","
צבי טל ושות' יעוץ, תכנון ופתרונות איטום בע""מ
הנגר 24 הוד השרון
515661866
",,חיפה,,,,,,,,,,,,"צבי טל ושות' יעוץ, תכנון ופתרונות איטום בע""מ",,,,Item,sites/Contracts/ProjectContractLibrary/רוטשילד חיפה,רוטשילד חיפה
CONT-10-2468,חוזה יועץ איטום.docx,יועץ איטום,,,,,טיוטה,,,,100%,,,,kooksec,,,,,,,,,,,,,"אפריקה התחדשות עירונית בע""מ
רח' יוני נתניהו 1 ג' אור יהודה
514639525      ","צבי טל ושות' - יעוץ, תכנון ופתרונות איטום בע""מ
רח' הנגר 24, קומה 6, הוד השרון
             515661866
",,תל אביב-יפו,,,,,,,,,,דרך השלום 71-75,,"צבי טל ושות' - יעוץ, תכנון ופתרונות איטום בע""מ","אפריקה התחדשות עירונית בע""מ","יעוץ, תכנון ופיקוח איטום להקמת 4 בניינים בני 19 קומות ו-3 בניינים בני 8 קומות מעל חניון משותף של 4 קומות תת""ק, סה""כ 250 יח""ד בנוסף הפרויקט יכלול גגות ירוקים ושטחי מסחר כ750 מ""ר, מבני ציבור כ1000 מ""ר+ חצר מוצמדת של כ-250 מ""ר ",,Item,sites/Contracts/ProjectContractLibrary/דרך השלום - תא,דרך השלום - תא
CONT-10-1881,חוזה יועץ אקוסטיקה.docx,יועץ אקוסטיקה,2019-01-13 00:00:00,,34000,נס ציונה מחיר למשתכן,טיוטה,2019-01-13 00:00:00,2022-09-23 23:00:00,,100,,,,kooksec,,2,,,,45,,,,,,,"
א.מ. ישראל מגורים יזמות בע""מ
יוני נתניהו 1 אור יהודה
514957794
","
ע.ליבני הנדסה אקוסטית בע""מ
רחוב הפלדה 3 אור יהודה
513349738
",,נס ציונה,,,,,,,,,,"א.מ ישראל מגורים יזמות בע""מ",,"ע.ליבני הנדסה אקוסטית בע""מ",,"תכנון אקוסטי עבור 216 יח""ד כולל מרתפי חנייה הגולל תכנון ראשוני, אישור תכנון, פיקוח עליון וטופס 4",שוטף + 30,Item,sites/Contracts/ProjectContractLibrary/נס ציונה מחיר למשתכן,נס ציונה מחיר למשתכן
CONT-10-1933,חוזה יועץ אקוסטיקה.docx,יועץ אקוסטיקה,2020-08-12 00:00:00,,,אנדריוס,אושר,2016-10-12 00:00:00,2023-05-08 21:00:00,,100%,,0.3,,avic,,,חודש פברואר 2014 ,,,80,,5.00000000000000,מדד המחירים לצרכן,,,,"
אפריקה ישראל מגורים בע""מ
יוני נתניהו 1 ג' אור יהודה
מ.ז 52-003476-0
","
ע. לבני הנדסה אקוסטית בע""מ
הפלדה 7 אור יהודה
",,נתנ,8271,נת/41/5521,"אבי כהן מאפריקה ישראל מגורים בע""מ",ע. לבני,5,ע. לבני ,,,,"סביוני סיטי אנדריוס "" נתניה ","ש""ח","ע. לבני הנדסה אקוסטית בע""מ",,יעוץ ותכנון אקוסטי בפרויקט ,שוטף + 45,Item,sites/Contracts/ProjectContractLibrary/אנדריוס,אנדריוס
CONT-10-1999,חוזה יועץ אקוסטיקה.docx,יועץ אקוסטיקה,,,28000,רעננה ,טיוטה,,,מחיר קבוע/פאושלי,,,0.4,,germank,,,,,,,,,,,,,"אפריקה ישראל מגורים בע""מ
יוני נתניהו 1 ג' אור יהודה
מ.ז 52-003476-0
","מ.ג יועצים לאקוסטיקה בע""מ
השופטים 1 הרצליה
ח.פ. 51069421
",,רעננה,6585,רן/708,גרמן קגנובסקי ,אינג' שמעון גרינבוים ,,,151,,,סביוני רעננה ,"ש""ח","מ.ג יועצים לאקוסטיקה בע""מ",,150 יח''ד ומסחר על גבי חניון תת קרקעי,60 יום,Item,sites/Contracts/ProjectContractLibrary/סביוני רעננה צפון,סביוני רעננה צפון
CONT-10-2004,חוזה יועץ אקוסטיקה.docx,יועץ אקוסטיקה,,,,מורדות ארנונה,טיוטה,,,,100%,,,,,,,,,,,114.7,,מדד תשומות הבנייה לחודש 9/2020,,,,"א.מ. ישראל מגורים פיתוח בע""מ
יוני נתניהו 1 ג' אור יהודה
513313148
",,,ירושלים,,,אבי ברטי לוי,,,,,,,"א.מ. ישראל מגורים פיתוח בע""מ",,"מ.ג יועצים לאקוסטיקה בע""מ","א.מ ישראל מגורים פיתוח בע""מ",,,Item,sites/Contracts/ProjectContractLibrary/מורדות ארנונה,מורדות ארנונה
CONT-10-2102,חוזה יועץ אקוסטיקה.docx,יועץ אקוסטיקה,2021-09-16 00:00:00,,63000,,אושר,2021-07-15 00:00:00,2028-05-09 21:00:00,מחיר קבוע/פאושלי,100%,,1.1,,avic,,1,בגין,2021-07-14 00:00:00,,80,227.5844,5.00000000000000,מדד המחירים לצרכן,,,,"
אפריקה ישראל מגורים בע""מ
יוני נתניהו 1 ג' אור יהודה
מ.ז 52-003476-0
","
ע. לבני הנדסה אקוסטית בע""מ
הפלדה 7 אור יהודה
",,קרית אתא,10255    ,כ/248,"אבי כהן מחברת אפריקה ישראל מגורים בע""מ ",ע. לבני ,5,עוזי לבני ,מגרשים 57-65,,,גבעת הכלניות ( טרם ניתן שם לפרויקט ),"ש""ח","ע. לבני הנדסה אקוסטית בע""מ","אפריקה ישראל מגורים בע""מ ",יעוץ ותכנון אקוסטיקה בפרויקט ,שוטף + 45,Item,sites/Contracts/ProjectContractLibrary/גבעת הכלניות - קרית אתא,גבעת הכלניות - קרית אתא
CONT-10-2148,חוזה יועץ אקוסטיקה.docx,יועץ אקוסטיקה,2021-08-01 00:00:00,,22000,,טיוטה,2021-05-16 00:00:00,2024-11-12 20:00:00,מחיר קבוע/פאושלי,,,,,dekelr,,2,ידוע,2021-05-15 00:00:00,,40,225.5724,5.00000000000000,מדד המחירים לצרכן,,,,"
אפריקה ישראל מגורים בע""מ
יוני נתניהו 1 ג' אור יהודה
מ.ז 52-003476-0
","
ע. לבני הנדסה אקוסטית בע""מ
הפלדה 7 אור יהודה
",,נתניה,8256,נת / 556 / ב / 1,דקל רוקבן,,,,155,מגרש 1409,,נתניה - מגרש 1409,"ש""ח","ע. לבני הנדסה אקוסטית בע""מ",,יעוץ אקוסטיקה,45 יום,Item,sites/Contracts/ProjectContractLibrary/נתניה - מגרש 1409,נתניה - מגרש 1409
CONT-10-2185,חוזה יועץ אקוסטיקה.docx,יועץ אקוסטיקה,2022-04-28 00:00:00,,,נשר,טיוטה,2021-07-15 00:00:00,,מחיר קבוע/פאושלי,,,0.4,,avic,,1,בגין,2021-07-14 00:00:00,,,227.5844,5.00000000000000,מדד המחירים לצרכן,,,,"
אפריקה ישראל מגורים בע""מ
יוני נתניהו 1 ג' אור יהודה
מ.ז 52-003476-0

כלל נכסי נדלן נשר מרכז (נ.נ.נ.מ) שותפות מוגבלת
מרכז עזריאלי בניין משולש 3, תל אביב
540283033

שיכון ובינוי נדל""ן בע""מ
שלם 3 רמת גן 52215
מ.ז 52-002117-1
","
ע. לבני הנדסה אקוסטית בע""מ
הפלדה 7 אור יהודה
",,נשר,חלקה 1 בגוש 11170 וכן חלק מחלקה 1 בגוש 11118,355-0359364 ( מכ/866 ),"אבי כהן מחברת אפריקה ישראל מגורים בע""מ ",שרון בן עמי,8,שרון בן עמי ,,,,אגמי הכרמל ,"ש""ח","ע. לבני הנדסה אקוסטית בע""מ",,יעות אקוסטיקה,שוטף + 60,Item,sites/Contracts/ProjectContractLibrary/נשר,נשר
CONT-10-2269,חוזה יועץ אקוסטיקה.docx,יועץ אקוסטיקה,,,420000,רמת שרת שלב ב,טיוטה,,,מחיר קבוע/פאושלי,,,,,kooksec,,2,,,,,,5.00000000000000,מדד המחירים לצרכן,,,,"פ.א פיתוח ובנייה בירושלים בע""מ
יוני נתניהו 1 ג' אור יהודה ת.ד 715
513958009","
ע.ליבני הנדסה אקוסטית בע""מ
רח' הפלדה 3 אור יהודה
513349738
",,ירושלים,,,אבי ברטי לוי,,,,,,,"פ.א פיתוח ובנייה בירושלים בע""מ","דולר (דולר ארה""ב)","ע.ליבני הנדסה אקוסטית בע""מ",,"תכנון ופיקוח עליון על פרויקט מגורים הכולל מסחר וחניונים הכולל 2 מגדלי מגורים בני 19 קומות כ""א בסך: 278 יח""ד ומסחר כ2000 מ""ר בקומת קרקע וחניון תת""ק של כ-22,300 מ""ר",45 יום,Item,sites/Contracts/ProjectContractLibrary/רמת שרת שלב ב,רמת שרת שלב ב
CONT-10-2318,חוזה יועץ אקוסטיקה.docx,יועץ אקוסטיקה,,,,,טיוטה,,,,50%,,,,kooksec,,,,,,,,,,,,,"
ביתא רוטשילד בע""מ
יוני נתניהו 1 ג' אור יהודה ת.ד 715
515851194
","
א.עדי אקוסטיקה בע""מ
האומן 17 חדרה
515357937
",,חיפה,,,,,,,,,,,,"א.עדי אקוסטיקה בע""מ",,,,Item,sites/Contracts/ProjectContractLibrary/רוטשילד חיפה,רוטשילד חיפה
CONT-10-2362,חוזה יועץ אקוסטיקה.docx,יועץ אקוסטיקה,,,34000,הכוזרי הרצליה,טיוטה,2022-01-02 00:00:00,2027-02-16 22:00:00,מחיר קבוע/פאושלי,50%,,,,meryle,,1,בגין,2022-01-01 00:00:00,,60,229.82,5.00000000000000,מדד המחירים לצרכן,,,,"
אפריקה התחדשות עירונית בע""מ
רח' יוני נתניהו 1, אור יהודה
514639525

מצלאוי חברה לבנין בע""מ
דרך רפאל איתן 1, קרית אונו
512726712
","
מ.ג. יועצים לאקוסטיקה בע""מ
ח.פ. 510969421
רח' השופטים 1, ת.ד. 5212, הרצליה 4644708

",,הרצליה,6538,504-0138628,מרול אטמן,שמעון גרינבאום,,שמעון גרינבאום,420-423,,,הכוזרי,"ש""ח","מ.ג. יועצים לאקוסטיקה בע""מ",,ייעוץ א,60 יום,Item,sites/Contracts/ProjectContractLibrary/הכוזרי - הרצליה,הכוזרי - הרצליה
CONT-10-2473,חוזה יועץ אקוסטיקה.docx,יועץ אקוסטיקה,,,,,טיוטה,,,מחיר קבוע/פאושלי,100,,,,kooksec,,1,,,,,,5.00000000000000,מדד המחירים לצרכן,,,,"
אפריקה התחדשות עירונית בע""מ
יוני נתניהו 1 ג' אור יהודה
514639525
","
ע.ליבני הנדסה אקוסטית בע""מ
יצחק רבין 1 פתח תקווה
513349738
",,תל אביב-יפו,,,,,,,,,,דרך השלום 71-75,"ש""ח","ע.ליבני הנדסה אקוסטית בע""מ","אפריקה התחדשות עירונית בע""מ",,שוטף + 45,Item,sites/Contracts/ProjectContractLibrary/דרך השלום - תא,דרך השלום - תא
CONT-10-1900,חוזה יועץ בטיחות.docx,יועץ בטיחות ,,,65000,סביוני רעננה צפון,טיוטה,2020-01-01 00:00:00,,מחיר קבוע/פאושלי,,,0.6,,germank,,2,ידוע,2019-12-31 00:00:00,,,224.6748,5.00000000000000,מדד המחירים לצרכן,,,,"
אפריקה ישראל מגורים בע""מ
יוני נתניהו 1 ג' אור יהודה
מ.ז 52-003476-0
","
יוסי פניני מהנדסים בע''מ
רח' בעלי מלאכה 26, חיפה ת.ד. 484 נשר, מיקוד 20300
513276188
",,רעננה, 6578,רע/708,גרמן קגנובסקי,יוסי פניני,,יוסי פניני,151,,,סביוני  רעננה  צפון,"ש""ח",יוסי פניני מהנדסים בע''מ,"אפריקה ישראל מגורים בע""מ",הקמה 150 יח''ד ומסחר,שוטף + 30,Item,sites/Contracts/ProjectContractLibrary/סביוני רעננה צפון,סביוני רעננה צפון
CONT-10-1930,חוזה יועץ בטיחות.docx,יועץ בטיחות ,,,,פרויקט ניסיון,טיוטה,,,,,,,,einave,,,,,,,,,,,,,,,,גבעת שמואל,,,,,,,,,,ניסיון,,,,,,Item,sites/Contracts/ProjectContractLibrary/פרויקט ניסיון,פרויקט ניסיון
CONT-10-2003,חוזה יועץ בטיחות.docx,יועץ בטיחות ,,,,מורדות ארנונה,טיוטה,,,,100%,,,,,,,,,,,,,,,,,"א.מ. ישראל מגורים פיתוח בע""מ
יוני נתניהו 1 ג' אור יהודה
513313148","אלי כחלון הנדסת בטיחות אש בע""מ
רחוב הנדיב 71 ק.1 הרצליה
513316976",,ירושלים,,, אבי ברטי לוי,רמי לוי,,,,,,"א.מ. ישראל מגורים פיתוח בע""מ",,"   אלי כחלון הנדסת בטיחות אש בע""מ","א.מ. ישראל מגורים פיתוח בע""מ",,,Item,sites/Contracts/ProjectContractLibrary/מורדות ארנונה,מורדות ארנונה
CONT-10-2101,חוזה יועץ בטיחות.docx,יועץ בטיחות ,2021-09-16 00:00:00,,,גבעת הכלניות,ממתין,2021-06-18 00:00:00,2028-03-14 20:00:00,מחיר קבוע/פאושלי,100%,2,0.4,,avic,,1,בגין,2021-06-17 00:00:00,,80,227.5844,5.00000000000000,מדד המחירים לצרכן,,,,"
אפריקה ישראל מגורים בע""מ
יוני נתניהו 1 ג' אור יהודה
מ.ז 52-003476-0
","
נפתלי רונן -אדריכל, יועץ בטיחות בע""מ
רח' גאולה 48 , חיפה 

",,קרית אתא,10255   מגרשים 57-65   ,כ/248,"  אבי כהן מחברת אפריקה ישראל מגורים בע""מ ",נפתלי רונן ,5,נפתלי רונן ,מגרשים 57-65,,,גבעת הכלניות ( טרם ניתן שם לפרויקט ),"ש""ח","נפתלי רונן -אדריכל, יועץ בטיחות בע""מ",,יעוץ ותכנון בטיחות בפרוקיט ,שוטף + 45,Item,sites/Contracts/ProjectContractLibrary/גבעת הכלניות - קרית אתא,גבעת הכלניות - קרית אתא
CONT-10-2140,חוזה יועץ בטיחות.docx,יועץ בטיחות ,2021-01-01 00:00:00,,37170,,טיוטה,2020-12-16 00:00:00,2024-07-13 21:00:00,מחיר קבוע/פאושלי,,,,,dekelr,,2,ידוע,2020-12-15 00:00:00,,40,223.3374,5.00000000000000,מדד המחירים לצרכן,,,,"
אפריקה ישראל מגורים בע""מ
יוני נתניהו 1 ג' אור יהודה
מ.ז 52-003476-0
","
על בטוח בע""מ

",,נתניה,8256,נת / 556 / ב / 1,דקל רוקבן,,,,155,מגרש 1409,,נתניה - מגרש 1409,"ש""ח","על בטוח בע""מ",,יעוץ בטיחות,45 יום,Item,sites/Contracts/ProjectContractLibrary/נתניה - מגרש 1409,נתניה - מגרש 1409
CONT-10-2171,חוזה יועץ בטיחות.docx,יועץ בטיחות ,2022-03-30 00:00:00,,,נשר,טיוטה,2022-03-14 00:00:00,,מחיר קבוע/פאושלי,,,0.2,,avic,,2,ידוע,2022-02-04 00:00:00,,,229.82,5.00000000000000,מדד המחירים לצרכן,,,,"
אפריקה ישראל מגורים בע""מ
יוני נתניהו 1 ג' אור יהודה
מ.ז 52-003476-0

שיכון ובינוי נדל""ן בע""מ
שלם 3 רמת גן 52215
מ.ז 52-002117-1

כלל נכסי נדלן נשר מרכז (נ.נ.נ.מ) שותפות מוגבלת
מרכז עזריאלי בניין משולש 3, תל אביב
540283033
","
טוכמן מהנדסים ויועצים בע""מ
כט בנובמבר 20 זיכרון יעקב

",,נשר,חלקה 1 בגוש 11170 וכן חלק מחלקה 1 בגוש 11118,355-0359364 ( מכ/866 ),"אבי כהן מחברת אפריקה ישראל מגורים בע""מ ",אילן טוכמן,3,טוכמן ,חלקה 1 בגוש 11170 וחלק מחל' 1 בגוש 11118,,,פרוייקט אגמי הכרמל ,"ש""ח","טוכמן מהנדסים ויועצים בע""מ",,יועץ בטיחות ,שוטף + 60,Item,sites/Contracts/ProjectContractLibrary/נשר,נשר
CONT-10-2180,חוזה יועץ בטיחות.docx,יועץ בטיחות ,,,,רמת שרת – מתחם דרומי,טיוטה,,,,50%,,,,,,,,,,,,,,,,,"פ.א פיתוח ובנייה בירושלים בע""מ 
רח' יוני נתניהו 1 ג' אור יהודה ת.ד 715
513958009","טוכמן מהנדסי ויועצים בע""מ
ת.ד. 615 זכרון יעקב
513822296",,ירושלים,,, אבי ברטי לוי,אילן טוכמן,,,,,,"פ.א פיתוח ובנייה בירושלים בע""מ",,"טוכמן מהנדסים ויועצים בע""מ","פ.א פיתוח ובנייה בירושלים בע""מ",,,Item,sites/Contracts/ProjectContractLibrary/רמת שרת שלב ב,רמת שרת שלב ב
CONT-10-2320,חוזה יועץ בטיחות.docx,יועץ בטיחות ,,,,,טיוטה,,,,50%,,,,kooksec,,,,,,,,,,,,,"
ביתא רוטשילד בע""מ
יוני נתניהו 1 ג' אור יהודה ת.ד 715
515851194
","
לבטח הנדסה ובטיחות בע""מ
פרופ' אברהם פצורניק 5 נס ציונה
513677021
",,חיפה,,,,,,,,,,,,"לבטח הנדסה ובטיחות בע""מ",,,,Item,sites/Contracts/ProjectContractLibrary/רוטשילד חיפה,רוטשילד חיפה
CONT-10-2356,חוזה יועץ בטיחות.docx,יועץ בטיחות ,,,75400,הכוזרי הרצליה,טיוטה,2022-01-16 00:00:00,2027-02-16 22:00:00,מחיר קבוע/פאושלי,50%,,0.1,,meryle,,1,בגין,2022-01-15 00:00:00,,60,229.82,5.00000000000000,מדד המחירים לצרכן,,,,"
אפריקה התחדשות עירונית בע""מ
יהונתן נתניהו 1, אור יהודה
514639525

מצלאוי חברה לבנין בע""מ
דרך רפאל איתן 1, קרית אונו
512726712
","
אלי כחלון הנדסת בטיחות אש בע""מ
רח' הנדיב 71, הרצליה

",,הרצליה,6538,504-0138628,מרול אטמן,אלי כחלון,,אלי כחלון,420-423,,,הכוזרי,"ש""ח","אלי כחלון הנדסת בטיחות אש בע""מ",,ייעוץ בטיחות והגנה נגד אש,60 יום,Item,sites/Contracts/ProjectContractLibrary/הכוזרי - הרצליה,הכוזרי - הרצליה
CONT-10-2475,חוזה יועץ בטיחות.docx,יועץ בטיחות ,,,139080,,טיוטה,,,מחיר קבוע/פאושלי,100%,,,,kooksec,,1,,,,,,5.00000000000000,מדד המחירים לצרכן,,,,"
אפריקה התחדשות עירונית בע""מ
יוני נתניהו 1ג אור יהודה ת.ד 715
514639525
","
י.ש. אש ועשן בע""מ

5161478373
",,תל אביב-יפו,,,,,,,,,,דרך השלום 71-75,"ש""ח","י.ש. אש ועשן בע""מ","אפריקה התחדשות עירונית בע""מ",,שוטף + 45,Item,sites/Contracts/ProjectContractLibrary/דרך השלום - תא,דרך השלום - תא
CONT-10-2159,חוזה יועץ בידוד תרמי לוקח מכאן לירוק אנני גלר אביב.docx,יועץ בידוד תרמי,,,,,טיוטה,,,,,,,,avic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Item,sites/Contracts/ProjectContractLibrary/גבעת הכלניות - קרית אתא,גבעת הכלניות - קרית אתא
CONT-10-2198,חוזה יועץ בידוד תרמי.docx,יועץ בידוד תרמי,,,,נשר,טיוטה,,,,,,,,avic,,,,,,,,,,,,,,,,נשר,,,,,,,,,,אגמי הכרמל ,,,,,,Item,sites/Contracts/ProjectContractLibrary/נשר,נשר
CONT-10-1869,חוזה יועץ ביסוס וקרקע.docx,ייעוץ ביסוס קרקע,,,,,טיוטה,,,,100%,,,,kooksec,,,,,,,,,,,,,"
א.מ. ישראל מגורים יזמות בע""מ
יוני נתניהו 1 אור יהודה
514957794
","מגנזי הנדסת קרקע בע""מ
              יפת 30, ת""א
              515490019",,נס ציונה,,,גבריאל מגנזי,גבריאל מגנזי,,גבריאל מגנזי,,,,"א.מ ישראל מגורים יזמות בע""מ",,"מגנזי הנדסת קרקע בע""מ",,,,Item,sites/Contracts/ProjectContractLibrary/נס ציונה מחיר למשתכן,נס ציונה מחיר למשתכן
CONT-10-1898,חוזה יועץ ביסוס וקרקע.docx,ייעוץ ביסוס קרקע,,,22500,סביוני רעננה צפון,טיוטה,,,מחיר קבוע/פאושלי,,,0.3,,germank,,,,,,,,,,,,,"אפריקה-ישראל מגורים בע''מ, מ.ח. 520034760
רח' יהונתן נתניהו 7 1ג', אור יהודה","
בס''ד זליו דיאנדי בע''מ - יעוץ קרקע ומבנים
הערבה 1 גבעת שמואל
515552347
",,רעננה,גוש 6578 חלקה 151,רע/708,זליו דיאמנדי,,,,,,,סביוני  רעננה  צפון,"ש""ח",בס''ד זליו דיאנדי בע''מ - יעוץ קרקע ומבנים,"אפריקה ישראל מגורים בע""מ",ייעוץ בתחום הנדסת קרקע,,Item,sites/Contracts/ProjectContractLibrary/סביוני רעננה צפון,סביוני רעננה צפון
