OldContractNumber,OldFileName,ContractTemplate,signDate,כתובת ספק,CostContractScope,SiteName,status,StartDate,ExpectedEndDate,CostCompMethod,PartyAContactNamePercent,אישור חוזה,contractVersion,ח.פ חברה,docCreator,כתובת חברה,מדד בגין/ידוע,CostIndexMode,CostBaseIndexDate,מספר ספק,DurationMonths,CostIndexPoints,סוג מדד,CostIndexType,סוג ספק,פירוט עלויות,פרק,recipient,otherSides,קישור לנספח,Municipality,customField1,customField2,customField3,customField4,customField5,customField6,customField7,customField8,שיוך לעיר,project,CostCurrency,supplierName,partyAName,WorkDescription,CostPaymentTerms,ItemType,Path,OldFolderName
CONT-10-2051,בניין 31 - חוזה יועץ בטיחות.docx,יועץ בטיחות ,,,28000,סביוני נצר סירני,טיוטה,2020-11-02 00:00:00,2025-01-20 22:00:00,מחיר קבוע/פאושלי,50%,,,,meryle,,1,בגין,2020-11-01 00:00:00,,48,223.3374,5.00000000000000,מדד המחירים לצרכן,,,,"
אפריקה ישראל מגורים בע""מ וישראל אדלר ובנו חברה להשקעות בע""מ
יוני נתניהו 1 ג' אור יהודה
558075404
","
אלי כחלון הנדסת בטיחות אש בע""מ
הנדיב 71, הרצליה 4648583

",,נס ציונה,4722,407-0508069,מרול אטמן,אלי כחלון,,אלי כחלון,82,,,סביוני נצר סירני - בניין 31,"ש""ח","אלי כחלון הנדסת בטיחות אש בע""מ",,ייעוץ בטיחות והגנה נגד אש,60 יום,Item,sites/Contracts/ProjectContractLibrary/נצר סירני,נצר סירני
CONT-10-2053,בניין 31 - חוזה יועץ ביסוס קרקע.docx,יועץ ביסוס קרקע,2021-07-08 00:00:00,,14000,סביוני נצר סירני,טיוטה,2021-01-02 00:00:00,2025-03-20 20:00:00,מחיר קבוע/פאושלי,50%,,0.4,,meryle,,1,בגין,2021-01-01 00:00:00,,48,222.8896,5.00000000000000,מדד המחירים לצרכן,,,,"
אפריקה ישראל מגורים בע""מ וישראל אדלר ובנו חברה להשקעות בע""מ
יוני נתניהו 1 ג' אור יהודה
558075404
","
עמוס בלנק - עדי לרר מהנדסים בע""מ
הערד 7 תל אביב
",,נס ציונה,4722,407-0508069,מרול אטמן,עדי לרר,,עדי לרר,82,,,סביוני נצר סירני - בניין 31,"ש""ח","עמוס בלנק - עדי לרר מהנדסים בע""מ",,יעוץ קרקע וביסוס,60 יום,Item,sites/Contracts/ProjectContractLibrary/נצר סירני,נצר סירני
CONT-10-2153,בניין 31 - חוזה יועץ בניה ירוקה ותרמי.docx,יועץ בניה ירוקה,2022-02-16 00:00:00,,27500,סביוני נצר סירני,טיוטה,2021-07-02 00:00:00,2025-06-20 21:00:00,מחיר קבוע/פאושלי,50%,,0.6,,meryle,,1,בגין,2021-07-01 00:00:00,,48,227.5844,5.00000000000000,מדד המחירים לצרכן,,,,"
אפריקה ישראל מגורים בע""מ וישראל אדלר ובנו חברה להשקעות בע""מ
יוני נתניהו 1 ג' אור יהודה
558075404
","
סלע בניה ירוקה ומתקדמת
השיר 12א' כרכור
033233446
",,נס ציונה,4722,407-0508069,מרול אטמן,יפעת סלע,,יפעת סלע,82,,,סביוני נצר סירני - בניין 31,"ש""ח",סלע בניה ירוקה ומתקדמת,,יעוץ בנייה ירוקה ובידוד תרמי,60 יום,Item,sites/Contracts/ProjectContractLibrary/נצר סירני,נצר סירני
CONT-10-2066,בניין 31 - חוזה יועץ נגישות.docx,יועץ נגישות,2021-08-15 00:00:00,,13850,סביוני נצר סירני,טיוטה,2020-10-02 00:00:00,2025-01-20 22:00:00,מחיר קבוע/פאושלי,50%,,0.3,,meryle,,1,בגין,2020-10-01 00:00:00,,48,223.7832,5.00000000000000,מדד המחירים לצרכן,,,,"
אפריקה ישראל מגורים בע""מ וישראל אדלר ובנו חברה להשקעות בע""מ
יוני נתניהו 1 ג' אור יהודה
558075404
","
ליבנד יצחק אדריכל
ת.ד. 18243 תל אביב 6118201

",,נס ציונה,4722,407-0508069,מרול אטמן,מיכי איגר,,מיכי איגר,82,,,סביוני נצר סירני - בניין 31,"ש""ח",ליבנד יצחק אדריכל,,ייעוץ נגישות,60 יום,Item,sites/Contracts/ProjectContractLibrary/נצר סירני,נצר סירני
CONT-10-2075,בניין 31 - חוזה יועץ סופרפוזיציה.docx,יועץ סופרפוזיציה,2021-12-27 00:00:00,,70000,סביוני נצר סירני,טיוטה,2021-01-02 00:00:00,2025-04-17 21:00:00,מחיר קבוע/פאושלי,50%,,0.6,,meryle,,1,בגין,2021-01-01 00:00:00,,48,222.8896,5.00000000000000,מדד המחירים לצרכן,,,,"
אפריקה ישראל מגורים בע""מ וישראל אדלר ובנו חברה להשקעות בע""מ
יוני נתניהו 1 ג' אור יהודה
558075404
","
מימוני הנדסה ויעוץ בע""מ
תפוצות ישראל 3, גבעתיים 6358320

",,נס ציונה,4722,407-0508069,מרול אטמן,אביעד קלדרון,,עמית מימוני,82,,,סביוני נצר סירני - בניין 31,"ש""ח","מימוני הנדסה ויעוץ בע""מ",,תאום מערכות,60 יום,Item,sites/Contracts/ProjectContractLibrary/נצר סירני,נצר סירני
CONT-10-2068,בניין 31 - חוזה מנהל מודל.docx,מנהל מודל,2021-12-27 00:00:00,,70000,סביוני נצר סירני,טיוטה,2021-01-02 00:00:00,2025-04-17 21:00:00,מחיר קבוע/פאושלי,50%,,0.11,,meryle,,1,בגין,2021-01-01 00:00:00,,48,222.8896,5.00000000000000,מדד המחירים לצרכן,,,,"
אפריקה ישראל מגורים בע""מ וישראל אדלר ובנו חברה להשקעות בע""מ
יוני נתניהו 1 ג' אור יהודה
558075404
","
מימוני הנדסה ויעוץ בע""מ
רח' תפוצות ישראל 3 גבעתיים 6358320

",,נס ציונה,4722,407-0508069,מרול אטמן,אביעד קלדרון,,עמית מימוני,82,,,סביוני נצר סירני - בניין 31,"ש""ח","מימוני הנדסה ויעוץ בע""מ",,ניהול מודל בים,60 יום,Item,sites/Contracts/ProjectContractLibrary/נצר סירני,נצר סירני
CONT-10-2182,בניין 31 - חוזה מעצב פנים.docx,מעצב פנים,2022-06-07 00:00:00,,68000,סביוני נצר סירני,טיוטה,2022-03-02 00:00:00,2026-03-12 20:00:00,מחיר קבוע/פאושלי,50%,,0.9,,meryle,,1,בגין,2022-03-01 00:00:00,,48,232.7263,5.00000000000000,מדד המחירים לצרכן,,,,,"
עינת בר-און לטי
ניסים אלוני 7, תל אביב

",,נס ציונה,4722,407-0508069,מרול אטמן,עינת בר-און לטי,,עינת בר-און לטי,82,,,סביוני נצר סירני - בניין 31,"ש""ח",עינת בר-און לטי,"אפריקה ישראל מגורים בע""מ וישראל אדלר ובנו חברה להשקעות בע""מ",עיצוב פנים בשטחים המשותפים,60 יום,Item,sites/Contracts/ProjectContractLibrary/נצר סירני,נצר סירני
CONT-10-2057,בניין 31 - חוזה מתכנן אינסטלציה.docx,מתכנן אינסטלציה,2022-02-14 00:00:00,,149550,סביוני נצר סירני,טיוטה,2020-11-02 00:00:00,2025-01-20 22:00:00,למדידה,50%,,0.12,,meryle,,1,בגין,2020-11-01 00:00:00,,48,223.3374,5.00000000000000,מדד המחירים לצרכן,,,,"
אפריקה ישראל מגורים בע""מ וישראל אדלר ובנו חברה להשקעות בע""מ
יוני נתניהו 1 ג' אור יהודה
558075404
","
א.ח. תכנון וייעוץ בהנדסת מים וביוב בע""מ
רח' מגשימים 6, פתח תקווה 

",,נס ציונה,4722,407-0508069,מרול אטמן,ולי אנטוני,,ולי אנטוני,82,,,סביוני נצר סירני - בניין 31,"ש""ח","א.ח. תכנון וייעוץ בהנדסת מים וביוב בע""מ",,"תכנון אינסטלציה, ספרינקלרים וכיבוי אש",60 יום,Item,sites/Contracts/ProjectContractLibrary/נצר סירני,נצר סירני
CONT-10-2110,בניין 31 - חוזה מתכנן אלומיניום.docx,מתכנן אלומיניום,,,58000,סביוני נצר סירני,טיוטה,2021-01-02 00:00:00,2025-05-18 21:00:00,מחיר קבוע/פאושלי,50%,,0.4,,meryle,,1,בגין,2021-01-01 00:00:00,,48,222.8896,5.00000000000000,מדד המחירים לצרכן,,,,"
אפריקה ישראל מגורים בע""מ וישראל אדלר ובנו חברה להשקעות בע""מ
יוני נתניהו 1 ג' אור יהודה
558075404
","
א.מ.ג תכנון יעוץ וניהול בע""מ
משה גושן 64 קרית מוצקין
",,נס ציונה,4722,407-0508069,מרול אטמן,יצחק מוגרבי,,יצחק מוגרבי ו/או לאוניד ברזון,82,,,סביוני נצר סירני - בניין 31,"ש""ח","א.מ.ג תכנון יעוץ וניהול בע""מ",,תכנון אלומיניום,שוטף + 45,Item,sites/Contracts/ProjectContractLibrary/נצר סירני,נצר סירני
CONT-10-2063,בניין 31 - חוזה מתכנן חשמל ותקשורת.docx,מתכנן חשמל ותקשורת,,,90860,סביוני נצר סירני,טיוטה,2020-12-02 00:00:00,2025-03-02 22:00:00,למדידה,50%,,,,meryle,,1,בגין,2020-12-01 00:00:00,,48,223.1145,5.00000000000000,מדד המחירים לצרכן,,,,"
אפריקה ישראל מגורים בע""מ וישראל אדלר ובנו חברה להשקעות בע""מ
יוני נתניהו 1 ג' אור יהודה
558075404
","
רמאור בע""מ
רח' התע""ש 20, ת.ד. 29, כפר סבא 4442520

",,נס ציונה,4722,407-0508069,מרול אטמן,מאיה מייבלט,,מאיה מייבלט,82,,,סביוני נצר סירני - בניין 31,"ש""ח","רמאור בע""מ",,תכנון חשמל ותקשורת,60 יום,Item,sites/Contracts/ProjectContractLibrary/נצר סירני,נצר סירני
